,Driver Space,Laptop Name,OS Type,Processor type,RAM Size,Screen size,price
0,128GB SSD,Asus VivoBook X4,Endless OS,Celeron N3450,4GB,"14""",$295.99
1,32GB,Prestigio SmartB,Windows 10 Pro + Office 365 1 gadam,Celeron N3350 1.1GHz,4GB,"13.3"" FHD IPS",$299.00
2,32GB,Prestigio SmartB,Windows 10 Pro + Office 365 1 gadam,Celeron N3350 1.1GHz,4GB,"13.3"" FHD IPS",$299.00
3,Linux,Aspire E1-,,4GB,500GB,Pentium N3520 2.16GHz,$306.99
4,128GB SSD,Lenovo V110-15IA,Windows 10 Home,Celeron N3350 1.1GHz,4GB,"15.6"" HD",$321.94
5,500GB,Lenovo V110-15IA,Windows 10 Home,Pentium N4200,4GB,"15.6"" HD",$356.49
6,128GB SSD,Hewlett Packard,DOS,Celeron N3060 1.6GHz,4GB,"15.6"" HD",$364.46
7,128GB SSD,Acer Aspire 3 A3,Windows 10 Home,Celeron N3350 1.1GHz,4GB,"15.6"" HD",$372.70
8,128GB,Acer Aspire A315,Windows 10 Home,Celeron N3350,4GB DDR3L,HD,$379.94
9,128GB SSD,Acer Aspire ES1-,Linux,Core i3-6006U,4GB,"15.6"" HD",$379.95
10,128GB SSD,Acer Aspire 3 A3,Windows 10 Home,Pentium N4200 1.1GHz,4GB,"15.6"" HD",$391.48
11,,Acer Aspire 3 A3,,AMD A4-9120. 4GB. 128GB SSD,Linux,"15.6""",$393.88
12,500GB,Asus VivoBook Ma,Windows 10 Home,Pentium N4200 1.1GHz,4GB,"15.6"" HD",$399.00
13,128GB SSD,Asus VivoBook E5,Windows 10 Home,Pentium N4200 1.1GHz,4GB,"15.6"" HD",$399.99
14,128GB SSD,Lenovo ThinkPad,Windows 10 Home,Celeron 3855U 1.6GHz,4GB,"13.3"" HD",$404.23
15,128GB SSD,Acer Aspire 3 A3,Windows 10 Home,Pentium N4200 1.1GHz,4GB,"15.6"" HD",$408.98
16,128GB SSD,Lenovo V110-15IS,Windows 10 Home,Core i3-6006U,8GB,"15.6"" HD",$409.63
17,4GB,Acer Aspire ES1-,1TB,Celeron,N3350,"17.3"" HD+",$410.46
18,128GB SSD,Asus VivoBook 15,Windows 10 Home,Pentium N4200,4GB,"15.6"" HD",$410.66
19,Windows 8.1,Packard 255,,4GB,500GB,AMD E2-3800 1.3GHz,$416.99
20,128GB eMMC,Asus EeeBook R41,Windows 10 Home,Pentium N4200,4GB,"14"" FHD",$433.30
21,1TB,Acer Aspire 3 A3,Windows 10 Home,Core i3-6006U,4GB,"15.6"" HD",$436.29
22,500GB,Acer Aspire ES1-,Windows 10 Home,Core i3-6006U,4GB,"15.6"" HD",$436.29
23,500GB,Acer Extensa 15,Linux,Core i5-7200U,4GB,"15.6"" HD",$439.73
24,500GB,Acer Aspire ES1-,Linux,Core i5-7200U,4GB,"15.6"" HD",$454.62
25,128GB SSD,Lenovo V110-15IS,Windows 10 Pro,Core i3-6006U,4GB,"15.6"" HD",$454.73
26,128GB SSD,Acer Aspire A315,Windows 10 Home,Core i3-7100U,4GB DDR4,"Black 15.6"" HD",$457.38
27,500GB,Lenovo V110-15IK,DOS,Core i5-7200U,4GB,"15.6"" HD",$465.95
28,256GB SSD,Asus VivoBook 15,Endless OS,Core i3-6006U,4GB,"15.6"" FHD",$468.56
29,128GB SSD,Acer Aspire ES1-,Windows 10 Home,Core i3-6006U,4GB,"15.6"" HD",$469.10
30,128GB SSD,Lenovo V510 Blac,Windows 10 Home,Core i3-6006U,4GB,"14"" HD",$484.23
31,128GB SSD,Acer Aspire ES1-,Linux,Core i5-7200U,4GB,"15.6"" HD",$485.90
32,128GB SSD,Lenovo V510 Blac,Windows 10 Home,Core i3-6006U,4GB,"15.6"" HD",$487.80
33,128GB SSD,Acer Swift 1 SF1,Windows 10 Home,Pentium N4200,4GB,"13.3"" FHD",$488.64
34,128GB SSD,Dell Vostro,Radeon R5 M420 2GB,Core i5-7200U,4GB,"15.6"" FHD",$488.78
35,500GB + 128GB SSD,Acer Aspire 3 A3,Windows 10 Home,Core i3-7100U,4GB,"15.6"" FHD",$494.71
36,1TB,Dell Vostro 15 (,Radeon R5 M420 2GB,Core i5-7200U,4GB,"15.6"" HD",$497.17
37,128GB SSD,Lenovo V510 Blac,Windows 10 Pro,Core i3-7100U,4GB,"15.6"" FHD",$498.23
38,Windows 8.1,HP 250,,4GB,500GB,Core i5-4210U,$520.99
39,128GB SSD,Acer Spi,Windows 10 Home,Core i3-7100U,4GB,"13.3"" FHD Touch",$564.98
40,Radeon HD8670M 2GB,HP 350,Windows,4GB,750GB,Core i5-4200U,$577.99
41,Radeon R7 M265,Aspire E1-5,Windows 8.1,8GB,1TB,Core i5-4200U,$581.99
42,Windows 8.1,Pavil,,6GB,750GB,Core i5-4200U,$609.99
43,Core i5-8250U,Acer Aspire A515,8GB DDR4,"15.6""",FHD,Black,$679.00
44,1TB,Dell Inspiron,Radeon R7 M445 4GB,Core i5-7200U,8GB,"15.6"" FHD",$679.00
45,256GB SSD,Asus VivoBook S1,Windows 10 Home,Core i5-8250U,8GB,"14""",$729.00
46,Win7 Pro 64bit,ProB,,4GB,500GB,Core i5 2.6GHz,$739.99
47,1TB,Inspiron,Radeon HD R7 M265 2GB,Core i7-4510U,8GB,"15.6""",$745.99
48,1TB,Asus ROG STRIX G,GeForce GTX 1050 2GB,Core i5-7300HQ,8GB,"15.6"" FHD",$799.00
49,1TB,Acer Nitro 5 AN5,GeForce GTX 1050 2GB,Core i5-7300HQ,8GB,"15.6"" FHD IPS",$809.00
50,1TB,Asus ROG STRIX G,GeForce GTX 1050 2GB,Core i5-7300HQ,8GB,"15.6"" FHD",$899.00
51,256GB SSD,Lenovo ThinkPad,Windows 10 Pro,Core i7-7500U,8GB,"15.6"" FHD",$999.00
52,,ThinkPad Y,,4GB,500GB + 16GB SSD Cache,Core i3-4010U,$1033.99
53,256GB SSD,Lenovo ThinkPad,Windows 10 Pro,Core i7-6600U,8GB,"14"" FHD IPS",$1096.02
54,256GB SSD,Dell Inspiron 15,GeForce GTX 1050 4GB,Core i5-7300HQ,8GB,"15.6"" FHD",$1098.42
